Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number
0,Fable,4.5,511,$$,Canadian (New),Kitsilano,"1944 W 4th Avenue#Vancouver, BC V6J 1MS#Canada",(604) 732-1322
1,Blue Water Cafe,4.5,628,$$$$,Seafood#Live/Raw Food#Bars,"Downtown, Yaletown","1095 Hamilton St#Vancouver, BC V6B 5T4#Canada",(604) 688-8078
2,Banter Room,4.5,15,$$,Canadian (New),"Downtown, Yaletown","1039 Mainland St#Vancouver, BC V6B 5P9#Canada",(604) 565-1039
3,Tuc Craft Kitchen,4.5,596,$$,Canadian (New)#Comfort Food#Bars,"Gastown, Downtown Eastside","60 W Cordova Street#Vancouver, BC V6B 1C9#Canada",(604) 559-8999
4,Miku,4.5,864,$$$,Japanese#Sushi Bars,Downtown,"200 Granville Street#Vancouver, BC V6C 1S4#Canada",(604) 568-3900
5,Medina Cafe,4.0,1514,$$,Breakfast & Brunch#Moroccan#Middle Eastern,Downtown,"780 Richards Street#Vancouver, BC V6B 3A4#Canada",(604) 879-3114
6,Alibi Room,4.5,449,$$,Pubs#Canadian (New)#Gastropubs,Null,"157 Alexander Street#Vancouver, BC V6A 1B8#Canada",(604) 623-3383
7,Maizal,4.5,11,$,Mexican,Mount Pleasant,"2815 Main Street#Vancouver, BC V5T 3G1#Canada",(604) 829-6522
8,Tavola,4.5,248,$$$,Italian,West End,"1829 Robson Street#Vancouver, BC V6G 3E4#Canada",(604) 606-4680
9,Fanny Bay Oyster Bar &amp; Shellfish Market,4.5,159,$$,Seafood#Seafood Markets,Downtown,"762 Cambie Street#Vancouver, BC V6B 2R5#Canada",(778) 379-9510
10,Twisted Fork,4.0,775,$$,French#Breakfast & Brunch,"Downtown, Granville Entertainment District","1147 Granville Street#Vancouver, BC V6Z 1M1#Canada",(604) 568-0749
11,The Flying Pig,4.0,747,$$,Canadian (New)#Seafood,"Downtown, Yaletown","1168 Hamilton Street#Vancouver, BC V6B 2S2#Canada",(604) 568-1344
12,Yui Japanese Bistro,4.5,26,$$,Japanese#Sushi Bars#Bistros,Downtown,"102-1185 W Georgia Street#Vancouver, BC V6E 4E6#Canada",(604) 559-7772
13,Chambar,4.0,949,$$$,Breakfast & Brunch#French#Middle Eastern,Downtown,"568 Beatty Street#Vancouver, BC V6B 2L3#Canada",(604) 879-7119
