Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number,Duplicate,,
435,Afghan Horsemen Restaurant,3.5,143,$$,Afghan,Granville Island/False Creek,"1833 Anderson Street#Vancouver, BC V6H 4E5#Canada",(604) 873-5923,Duplicate,,
466,Afghan Horsemen Restaurant,3.5,143,$$,Afghan,Granville Island/False Creek,"1833 Anderson Street#Vancouver, BC V6H 4E5#Canada",(604) 873-5923,Duplicate,,
543,Alpha Sushi Bar,4,82,$$,Japanese#Sushi Bars#Tapas Bars,"Downtown, Granville Entertainment District","1265 Granville Street#Vancouver, BC V6Z 1M5#Canada",(604) 633-0355,Duplicate,,
676,Alpha Sushi Bar,4,82,$$,Japanese#Sushi Bars#Tapas Bars,"Downtown, Granville Entertainment District","1265 Granville Street#Vancouver, BC V6Z 1M5#Canada",(604) 633-0355,Duplicate,,
88,Ancora Waterfront Dining and Patio,4.5,83,$$$$,Seafood#Japanese#Peruvian,Downtown,"1600 Howe Street#Vancouver, BC V6Z 2L9#Canada",(604) 681-1164,Duplicate,,
96,Ancora Waterfront Dining and Patio,4.5,83,$$$$,Seafood#Japanese#Peruvian,Downtown,"1600 Howe Street#Vancouver, BC V6Z 2L9#Canada",(604) 681-1164,Duplicate,,
349,Aotoya Japanese Restaurant,4,46,$$,Japanese,Fraserview,"6543 Victoria Drive#Vancouver, BC V5P 3X9#Canada",(604) 327-1158,Duplicate,,
388,Aotoya Japanese Restaurant,4,46,$$,Japanese,Fraserview,"6543 Victoria Drive#Vancouver, BC V5P 3X9#Canada",(604) 327-1158,Duplicate,,
481,Aotoya Japanese Restaurant,4,46,$$,Japanese,Fraserview,"6543 Victoria Drive#Vancouver, BC V5P 3X9#Canada",(604) 327-1158,Duplicate,,
667,Babylon CafÌ©,3.5,69,$,Middle Eastern,West End,"1156 Denman St#Vancouver, BC V6G 2M9#Canada",(604) 568-7010,Duplicate,,
905,Babylon CafÌ©,4,23,$,Middle Eastern,"Downtown, Granville Entertainment District","770 Nelson Street#Vancouver, BC V6Z 2H2#Canada",(604) 568-7379,Duplicate,,
974,Babylon CafÌ©,3.5,29,$,Middle Eastern,"Grandview-Woodlands, The Drive","1605 Commercial Drive#Vancouver, BC V5L 3Y2#Canada",(604) 563-8487,Duplicate,,
982,Babylon CafÌ©,3.5,29,$,Middle Eastern,"Grandview-Woodlands, The Drive","1605 Commercial Drive#Vancouver, BC V5L 3Y2#Canada",(604) 563-8487,Duplicate,,
216,Bali Thai,4.5,43,$,Indonesian,Downtown,"88 W Pender Street#Vancouver, BC V6B 1R3#Canada",(604) 291-7990,Duplicate,,
300,Bali Thai,4.5,43,$,Indonesian,Downtown,"88 W Pender Street#Vancouver, BC V6B 1R3#Canada",(604) 291-7990,Duplicate,,
127,Banana Leaf,4,206,$$,Malaysian#Singaporean,West End,"1096 Denman St#Vancouver, BC V6G 2M8#Canada",(604) 683-3333,Duplicate,,
283,Banana Leaf,3.5,153,$$,Malaysian#Singaporean,West End,"1043 Davie St#Vancouver, BC V6E 1N2#Canada",(604) 669-3389,Duplicate,,
930,Banana Leaf,3.5,116,$$,Malaysian#Singaporean,Kitsilano,"3005 W Broadway#Vancouver, BC V6K 2G9#Canada",(604) 734-3005,Duplicate,,
261,Baoguette Vietnamese Bistro,4,109,$,Vietnamese#Sandwiches,West End,"104 1184 Denman St#Vancouver, BC V6G 1Z1#Canada",(604) 563-2468,Duplicate,,
726,Baoguette Vietnamese Bistro,3,13,$$,Vietnamese,"Kerrisdale, Arbutus Ridge","2114 West 41st Avenue#Vancouver, BC V6M 1Z2#Canada",(778) 379-1494,Duplicate,,
213,Basil Pasta Bar,4,63,$,Italian,Kitsilano,"1602 Yew Street#Vancouver, BC V6K 3E7#Canada",(778) 379-0566,Duplicate,,
475,Basil Pasta Bar,3.5,280,$,Italian,"Downtown, Granville Entertainment District","636 Davie Street#Vancouver, BC V6B#Canada",(604) 568-3106,Duplicate,,
923,Benkei Noodle Shop,3,120,$,Ramen#Noodles,Fairview Slopes,"545 W Broadway#Vancouver, BC V5Z 1E6#Canada",(604) 568-6178,Duplicate,,
951,Benkei Noodle Shop,3,120,$,Ramen#Noodles,Fairview Slopes,"545 W Broadway#Vancouver, BC V5Z 1E6#Canada",(604) 568-6178,Duplicate,,
66,Black Rice Izakaya,4,113,$$,Japanese#Sushi Bars#Tapas Bars,Downtown,"782 Cambie Street#Vancouver, BC V6B 2R5#Canada",(778) 379-0416,Duplicate,,
95,Black Rice Izakaya,4,113,$$,Japanese#Sushi Bars#Tapas Bars,Downtown,"782 Cambie Street#Vancouver, BC V6B 2R5#Canada",(778) 379-0416,Duplicate,,
553,Bob Likes Thai Food,3.5,112,$$,Thai,Riley Park,"3755 Main St#Vancouver, BC V5V#Canada",(604) 568-8538,Duplicate,,
696,Bob Likes Thai Food,3.5,114,$$,Thai,"Fairview Slopes, South Granville","1521 W Broadway#Vancouver, BC V6J 1W6#Canada",(604) 558-3320,Duplicate,,
850,Bubble World,3.5,109,$,Taiwanese#Chinese,West End,"1325 Robson Street#Vancouver, BC V6E 1C6#Canada",(604) 689-8987,Duplicate,,
867,Bubble World,3.5,109,$,Taiwanese#Chinese,West End,"1325 Robson Street#Vancouver, BC V6E 1C6#Canada",(604) 689-8987,Duplicate,,
355,Burdock,3.5,111,$$,Tapas Bars#French,Mount Pleasant,"2702 Main Street#Vancouver, BC V5T 3E8#Canada",(604) 879-0077,Duplicate,,
406,Burdock,3.5,111,$$,Tapas Bars#French,Mount Pleasant,"2702 Main Street#Vancouver, BC V5T 3E8#Canada",(604) 879-0077,Duplicate,,
148,Burgoo Bistro,4,145,$$,Comfort Food#Bistros,Kitsilano,"2272 W 4th Avenue#Vancouver, BC V6K 1P2#Canada",(604) 734-3478,Duplicate,,
252,Burgoo Bistro,4,91,$$,Comfort Food#Bistros,Point Grey,"4434 10th Avenue W#Vancouver, BC V6R 2H9#Canada",(604) 221-7839,Duplicate,,
