Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number
0,Medina Cafe,4.0,1514,$$,Breakfast & Brunch#Moroccan#Middle Eastern,Downtown,"780 Richards Street#Vancouver, BC V6B 3A4#Canada",(604) 879-3114
1,Japadog,4.0,901,$,Hot Dogs#Food Stands,Downtown,"899 Burrard Street#Vancouver, BC V6Z 2K6#Canada",
2,Chambar,4.0,949,$$$,Breakfast & Brunch#French#Middle Eastern,Downtown,"568 Beatty Street#Vancouver, BC V6B 2L3#Canada",(604) 879-7119
3,Twisted Fork,4.0,775,$$,French#Breakfast & Brunch,"Downtown, Granville Entertainment District","1147 Granville Street#Vancouver, BC V6Z 1M1#Canada",(604) 568-0749
4,Miku,4.5,864,$$$,Japanese#Sushi Bars,Downtown,"200 Granville Street#Vancouver, BC V6C 1S4#Canada",(604) 568-3900
5,Hokkaido Ramen Santouka,4.0,734,$$,Ramen#Noodles,West End,"1690 Robson Street#Vancouver, BC V6G 1C7#Canada",(604) 681-8121
6,Guu with Garlic,4.5,679,$$,Japanese#Tapas Bars,West End,"1698 Robson Street#Vancouver, BC V6G 1C7#Canada",(604) 685-8678
7,The Flying Pig,4.0,747,$$,Canadian (New)#Seafood,"Downtown, Yaletown","1168 Hamilton Street#Vancouver, BC V6B 2S2#Canada",(604) 568-1344
8,Phnom Penh,4.0,688,$$,Cambodian#Vietnamese,Strathcona,"244 E Georgia Street#Vancouver, BC V6A 1Z7#Canada",(604) 682-5777
9,Guu Original Thurlow,4.0,624,$$,Japanese#Tapas Bars,"West End, Downtown","838 Thurlow Street#Vancouver, BC V6E 1W2#Canada",(604) 685-8817
10,Joe Fortes Seafood &amp; Chop House,4.0,669,$$$,Seafood#Steakhouses,West End,"777 Thurlow Street#Vancouver, BC V6E 3V5#Canada",(604) 669-1940
11,Meat &amp; Bread,4.0,614,$$,Sandwiches,Downtown,"370 Cambie Street#Vancouver, BC V6B 1H7#Canada",(604) 566-9003
12,Blue Water Cafe,4.5,628,$$$$,Seafood#Live/Raw Food#Bars,"Downtown, Yaletown","1095 Hamilton St#Vancouver, BC V6B 5T4#Canada",(604) 688-8078
13,Tuc Craft Kitchen,4.5,596,$$,Canadian (New)#Comfort Food#Bars,"Gastown, Downtown Eastside","60 W Cordova Street#Vancouver, BC V6B 1C9#Canada",(604) 559-8999
14,Fritz European Fry House,4.0,502,$,Fast Food#Poutineries#Modern European,"Downtown, Granville Entertainment District","718 Davie Street#Vancouver, BC V6Z 1B6#Canada",(604) 684-0811
15,Kingyo,4.5,516,$$,Japanese#Tapas/Small Plates,West End,"871 Denman Street#Vancouver, BC V6G 2L9#Canada",(604) 608-1677
16,Nuba Gastown,4.0,514,$$,Mediterranean#Vegetarian#Lebanese,Downtown,"207 W Hastings Street#Vancouver, BC V6B 1H7#Canada",(604) 688-1655
17,Rodney’s Oyster House,4.0,519,$$,Seafood#Live/Raw Food,"Downtown, Yaletown","1228 Hamilton Street#Vancouver, BC V6B 6L2#Canada",(604) 609-0080
18,The Flying Pig,4.0,529,$$,Canadian (New)#Seafood,"Downtown, Gastown","102 Water Street#Vancouver, BC V6B 2K8#Canada",(604) 559-7968
19,Fable,4.5,511,$$,Canadian (New),Kitsilano,"1944 W 4th Avenue#Vancouver, BC V6J 1MS#Canada",(604) 732-1322
20,Scoozis,4.0,515,$$,Breakfast & Brunch#Greek#Italian,Downtown,"445 Howe Street#Vancouver, BC V6C 2X4#Canada",(604) 684-1009
21,Alibi Room,4.5,449,$$,Pubs#Canadian (New)#Gastropubs,Null,"157 Alexander Street#Vancouver, BC V6A 1B8#Canada",(604) 623-3383
22,Nero Belgian Waffle Bar,4.0,428,$$,Coffee & Tea#Waffles,West End,"1703 Robson Street#Vancouver, BC V6G 1C9#Canada",(604) 839-1239
23,Salt Tasting Room,4.0,421,$$,Wine Bars#Tapas/Small Plates,"Downtown, Gastown","45 Blood Alley Square#Vancouver, BC V6B 1A4#Canada",(604) 633-1912
24,Peaceful Restaurant,4.0,436,$$,Chinese#Noodles,Fairview Slopes,"110-532 W Broadway#Vancouver, BC V5Z 1E9#Canada",(604) 879-9878
25,Pourhouse Restaurant,4.0,416,$$,Lounges#Canadian (New)#Cocktail Bars,"Downtown, Gastown","162 Water Street#Vancouver, BC V6B 1B2#Canada",(604) 568-7022
26,The Sandbar Seafood Restaurant,3.5,435,$$$,Seafood#Sushi Bars#Music Venues,Granville Island/False Creek,"1535 Johnston Street#Vancouver, BC V6H 3R9#Canada",(604) 669-9030
27,Minami,4.0,423,$$$,Japanese#Sushi Bars,"Downtown, Yaletown","1118 Mainland Street#Vancouver, BC V6B 2T9#Canada",(604) 685-8080
28,La Taqueria Pinche Taco Shop,4.5,401,$,Mexican#Caterers,Downtown,"322 W Hastings Street#Vancouver, BC V8B 1K6#Canada",(604) 568-4406
