Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number,Link
0,Fable,4.5,511,$$,Canadian (New),Kitsilano,"1944 W 4th Avenue#Vancouver, BC V6J 1MS#Canada",(604) 732-1322,/biz/fable-vancouver?osq=Restaurants
1,Blue Water Cafe,4.5,628,$$$$,Seafood#Live/Raw Food#Bars,"Downtown, Yaletown","1095 Hamilton St#Vancouver, BC V6B 5T4#Canada",(604) 688-8078,/biz/blue-water-cafe-vancouver?osq=Restaurants
2,Banter Room,4.5,15,$$,Canadian (New),"Downtown, Yaletown","1039 Mainland St#Vancouver, BC V6B 5P9#Canada",(604) 565-1039,/biz/banter-room-vancouver?osq=Restaurants
3,Tuc Craft Kitchen,4.5,597,$$,Canadian (New)#Comfort Food#Bars,"Gastown, Downtown Eastside","60 W Cordova Street#Vancouver, BC V6B 1C9#Canada",(604) 559-8999,/biz/tuc-craft-kitchen-vancouver?osq=Restaurants
4,Miku,4.5,865,$$$,Japanese#Sushi Bars,Downtown,"200 Granville Street#Vancouver, BC V6C 1S4#Canada",(604) 568-3900,/biz/miku-vancouver-2?osq=Restaurants
5,Medina Cafe,4.0,1514,$$,Breakfast & Brunch#Moroccan#Middle Eastern,Downtown,"780 Richards Street#Vancouver, BC V6B 3A4#Canada",(604) 879-3114,/biz/medina-cafe-vancouver?osq=Restaurants
6,Alibi Room,4.5,449,$$,Pubs#Canadian (New)#Gastropubs,Null,"157 Alexander Street#Vancouver, BC V6A 1B8#Canada",(604) 623-3383,/biz/alibi-room-vancouver?osq=Restaurants
7,Maizal,4.5,11,$,Mexican,Mount Pleasant,"2815 Main Street#Vancouver, BC V5T 3G1#Canada",(604) 829-6522,/biz/maizal-vancouver?osq=Restaurants
8,Tavola,4.5,248,$$$,Italian,West End,"1829 Robson Street#Vancouver, BC V6G 3E4#Canada",(604) 606-4680,/biz/tavola-vancouver?osq=Restaurants
9,Fanny Bay Oyster Bar &amp; Shellfish Market,4.5,160,$$,Seafood#Seafood Markets,Downtown,"762 Cambie Street#Vancouver, BC V6B 2R5#Canada",(778) 379-9510,/biz/fanny-bay-oyster-bar-and-shellfish-market-vancouver?osq=Restaurants
10,Ritual,4.0,66,$$,Comfort Food,West End,"774 Denman Street#Vancouver, BC V6G 1C9#Canada",(604) 428-7722,/biz/ritual-vancouver?osq=Restaurants
11,Yui Japanese Bistro,4.5,26,$$,Japanese#Sushi Bars#Bistros,Downtown,"102-1185 W Georgia Street#Vancouver, BC V6E 4E6#Canada",(604) 559-7772,/biz/yui-japanese-bistro-vancouver?osq=Restaurants
12,Mukja Korean Cuisine,2.5,11,$$,Korean,Kitsilano,"3211 W Broadway#Vancouver, BC V6K 2H5#Canada",(604) 565-5006,/biz/mukja-korean-cuisine-vancouver?osq=Restaurants
13,41 Noodle &amp; Rice Pot House,5.0,4,$$,Chinese#Noodles,"Kerrisdale, Arbutus Ridge","2279 W 41st Avenue#Vancouver, BC V6M 2A3#Canada",(778) 371-2376,/biz/41-noodle-and-rice-pot-house-vancouver?osq=Restaurants
14,Yuzu Shokutei,4.5,35,$$,Ramen#Vegetarian#Tapas/Small Plates,West End,"854 Denman Street#Vancouver, BC V6G 2L8#Canada",(604) 229-6816,/biz/yuzu-shokutei-vancouver-2?osq=Restaurants
15,Kingyo,4.5,517,$$,Japanese#Tapas/Small Plates,West End,"871 Denman Street#Vancouver, BC V6G 2L9#Canada",(604) 608-1677,/biz/kingyo-vancouver?osq=Restaurants
16,Cafe de l’Orangerie,4.0,131,$$,Japanese#Desserts,Marpole,"1320 W 73rd Avenue#Vancouver, BC V6P 4R3#Canada",(604) 266-0066,/biz/cafe-de-l-orangerie-vancouver-2?osq=Restaurants
17,Number e food,4.5,77,$$,Sandwiches#Pizza#Delis,Downtown,"1308 Burrard Street#Vancouver, BC V6Z 2B7#Canada",(604) 559-6863,/biz/number-e-food-vancouver?osq=Restaurants
18,Nomad,4.0,106,$$,Canadian (New)#Comfort Food#Cocktail Bars,Riley Park,"3950 Main Street#Vancouver, BC V5V 3P2#Canada",(604) 708-8525,/biz/nomad-vancouver?osq=Restaurants
19,Paramount Fine Foods,4.5,14,$$,Lebanese#Falafel#Pizza,Downtown,"560 Robson Street#Vancouver, BC V6B 2B7#Canada",(604) 699-9323,/biz/paramount-fine-foods-vancouver-2?osq=Restaurants
20,JOEY Burrard,4.0,290,$$,Canadian (New)#Lounges,Downtown,"820 Burrard Street#Vancouver, BC V6Z 1X9#Canada",(604) 683-5639,/biz/joey-burrard-vancouver?osq=Restaurants
21,Pourhouse Restaurant,4.0,416,$$,Lounges#Canadian (New)#Cocktail Bars,"Downtown, Gastown","162 Water Street#Vancouver, BC V6B 1B2#Canada",(604) 568-7022,/biz/pourhouse-restaurant-vancouver-2?osq=Restaurants
